ts,Label,Event,CustomerId
11215300000000,STANDARD-NO-FAILURE-MIXED,mobile : logon ,ID-4224
11215300000000,STANDARD-NO-FAILURE-MIXED,mobile : change card design,ID-4224
11220500000000,STANDARD-NO-FAILURE-MIXED,mobile : card reissue.completed,ID-4224
11220900000000,STANDARD-NO-FAILURE-MIXED,mobile : logoff,ID-4224
12051600000000,STANDARD-NO-FAILURE-MIXED,atm : withdrawal,ID-1542
12051800000000,STANDARD-NO-FAILURE-MIXED,atm : authentication,ID-1542
12114900000000,STANDARD-NO-FAILURE-MIXED,mobile : logon ,ID-1732
12115100000000,STANDARD-NO-FAILURE-MIXED,mobile : paperless preferences.completed,ID-1732
12115200000000,STANDARD-NO-FAILURE-MIXED,mobile : mortgage payoff quote,ID-1732
12115300000000,STANDARD-NO-FAILURE-MIXED,mobile : payment due date change heloc,ID-1732
12115500000000,STANDARD-NO-FAILURE-MIXED,mobile : logoff,ID-1732
12123500000000,STANDARD-NO-FAILURE-MIXED,mobile : logon ,ID-2832
12123700000000,STANDARD-NO-FAILURE-MIXED,mobile : payment activity,ID-2832
12124400000000,STANDARD-NO-FAILURE-MIXED,mobile : fund transfer,ID-2832
12124600000000,STANDARD-NO-FAILURE-MIXED,mobile : logoff,ID-2832
12135800000000,STANDARD-NO-FAILURE-MIXED,atm : authentication,ID-1034
12192100000000,STANDARD-NO-FAILURE-MIXED,mobile : logon ,ID-644
12192400000000,STANDARD-NO-FAILURE-MIXED,mobile : investment markets,ID-644
12192600000000,STANDARD-NO-FAILURE-MIXED,mobile : bill pay payee modify,ID-644
12192800000000,STANDARD-NO-FAILURE-MIXED,web : logon ,ID-2486
12193000000000,STANDARD-NO-FAILURE-MIXED,mobile : logoff ,ID-644
12195000000000,STANDARD-NO-FAILURE-MIXED,web : make payment,ID-2486
12195100000000,STANDARD-NO-FAILURE-MIXED,web : pending transaction approvals summary,ID-2486
12195500000000,STANDARD-NO-FAILURE-MIXED,web : logoff,ID-2486
13003200000000,STANDARD-NO-FAILURE-MIXED,mobile : logon ,ID-1664
13003300000000,STANDARD-NO-FAILURE-MIXED,mobile : funds transfer activity,ID-1664
13003500000000,STANDARD-NO-FAILURE-MIXED,mobile : investment markets,ID-1664
13003600000000,STANDARD-NO-FAILURE-MIXED,mobile : quick pay recipient,ID-1664
13005400000000,STANDARD-NO-FAILURE-MIXED,mobile : make payment,ID-1664
13005600000000,STANDARD-NO-FAILURE-MIXED,mobile : demographic change intercept,ID-1664
13005900000000,STANDARD-NO-FAILURE-MIXED,mobile : logoff ,ID-1664
13022500000000,STANDARD-NO-FAILURE-MIXED,web : logon ,ID-2603
13030500000000,STANDARD-NO-FAILURE-MIXED,mobile : logon ,ID-3357
13030700000000,STANDARD-NO-FAILURE-MIXED,mobile : request transaction info,ID-3357
13030900000000,STANDARD-NO-FAILURE-MIXED,mobile : payment due date change business card,ID-3357
13031000000000,STANDARD-NO-FAILURE-MIXED,mobile : bill pay payment modify auto,ID-3357
13032600000000,STANDARD-NO-FAILURE-MIXED,mobile : make payment,ID-3357
13032900000000,STANDARD-NO-FAILURE-MIXED,mobile : logoff,ID-3357
13034600000000,STANDARD-NO-FAILURE-MIXED,web : logon ,ID-2603
13035800000000,STANDARD-NO-FAILURE-MIXED,web : make payment,ID-2603
13040000000000,STANDARD-NO-FAILURE-MIXED,web : flow insights view,ID-2603
13040200000000,STANDARD-NO-FAILURE-MIXED,web : transaction history investment,ID-2603
13040300000000,STANDARD-NO-FAILURE-MIXED,web : you invest faq,ID-2603
