ts,td,srcip,srcport,dstip,dstport,proto,pkt,byt
1,0,C1065,389,C3799,N10451,6,10,5323
1,0,C1423,N1136,C1707,N1,6,5,847
1,0,C1423,N1142,C1707,N1,6,5,847
1,0,C14909,N8191,C5720,2049,6,1,52
1,0,C14909,N8192,C5720,2049,6,1,52
1,0,C14909,N8193,C5720,2049,6,1,52
1,0,C1707,N1,C1423,N1136,6,4,414
1,0,C1707,N1,C1423,N1142,6,4,413
1,0,C1707,N1,C925,N10487,6,4,414
1,0,C1707,N1,C925,N10491,6,4,413
1,0,C3587,N44,C528,N17,1,2,120
1,0,C3799,N10451,C1065,389,6,12,3007
1,0,C4879,N2369,C585,139,6,1,46
1,0,C528,N17,C3587,N17,1,2,120
1,0,C5720,2049,C14909,N8191,6,1,52
1,0,C5720,2049,C14909,N8192,6,1,52
1,0,C5720,2049,C14909,N8193,6,1,52
1,0,C8177,N7052,C7632,N77,6,1,48
1,0,C925,N10487,C1707,N1,6,4,810
1,0,C925,N10491,C1707,N1,6,4,810
1,10,C3587,N10510,C528,445,6,17,4369
1,10,C528,445,C3587,N10510,6,15,2418
1,15,C1799,N5523,C1707,N1,6,6,1222
1,6,C1707,N1,C1799,N5523,6,4,2755
1,60,C4254,N24,C5720,445,6,20,2440
1,60,C5720,445,C4254,N24,6,18,1552
1,9,C3090,N10436,C14005,N46,6,3,144
1,9,C3090,N10471,C3420,N46,6,3,144
1,9,C3538,N2600,C3371,N46,6,3,144
2,0,C4316,N10199,C5030,443,6,2,92
2,0,C5030,443,C4316,N10199,6,1,46
2,0,C7954,N10777,C5721,137,17,1,78
2,1,C3173,N48,C1554,N10502,6,3,138
2,10,C172,N10495,C1707,N1,6,6,1223
2,10,C2683,N4699,C1685,N1,6,6,1209
2,11,C500,N7057,C1685,N1,6,9,2901
2,6,C1685,N1,C2683,N4699,6,4,2749
2,6,C1685,N1,C500,N7057,6,6,2980
2,6,C1707,N1,C172,N10495,6,4,2755
2,60,C2588,N20,C770,N895,6,3,138
2,60,C3640,445,C1294,N879,6,3,237
3,0,C11573,111,C5736,N10778,17,1,56
3,0,C5736,N10778,C11573,111,17,1,84
3,0,C8177,N10444,C7632,N77,6,1,48
3,10,C3352,N3262,C1685,N1,6,9,2988
3,10,C54,N10485,C1685,N1,6,6,1223
3,15,C528,445,C1587,N10779,6,9,1653
3,4,C18263,N17,C2270,N17,1,5,420
3,4,C2270,N44,C18263,N17,1,5,420
3,6,C1685,N1,C3352,N3262,6,6,2972
3,6,C1685,N1,C54,N10485,6,4,2752
4,0,C1056,445,C379,N2212,6,1,46
4,0,C1878,N10277,C706,80,6,1,46
4,0,C379,N2212,C1056,445,6,1,52
4,0,C5736,445,C893,N2210,6,1,46
4,0,C893,N2210,C5736,445,6,1,46
4,10,C3666,N10533,C1685,N1,6,6,1213
4,5,C1685,N1,C3666,N10533,6,4,2752
4,60,C4812,N315,C5721,445,6,59,15826
4,60,C5640,445,C23382,N2919,6,2,338
4,9,C5089,N10797,C3371,N46,6,3,152
4,9,C5089,N10798,C24735,N46,6,3,152
4,9,C5089,N10799,C3469,N46,6,3,152
4,9,C5089,N10800,C4847,N46,6,3,152
4,9,C5089,N10809,C4116,N46,6,3,152
4,9,C5089,N10810,C128,N46,6,3,152
4,9,C5089,N2165,C3935,N46,6,3,152
4,9,C5089,N2172,C3971,N46,6,3,152
5,0,C11573,111,C5736,N10801,17,1,56
5,0,C15930,N8249,C2588,N20,6,5,272
5,0,C1707,N1,C1607,N636,6,1,46
5,0,C20101,N10466,C5720,N230,6,6,364
5,0,C20101,N10467,C5720,N230,6,6,428
5,0,C20101,N9039,C5720,111,6,6,380
5,0,C24954,N10447,C10022,N77,6,1,48
5,0,C24954,N10449,C10022,N77,6,1,48
5,0,C2588,N20,C15930,N8249,6,3,168
5,0,C4254,N10802,C457,88,17,1,1386
5,0,C4254,N10805,C457,88,17,1,1400
5,0,C4254,N10806,C612,389,17,1,236
5,0,C4254,N10807,C457,88,17,1,1416
5,0,C4254,N10808,C457,88,17,1,1400
5,0,C457,389,C5611,N10803,17,1,191
5,0,C457,389,C5611,N10804,17,1,117
5,0,C457,88,C4254,N10802,17,1,1346
5,0,C457,88,C4254,N10805,17,1,1374
5,0,C457,88,C4254,N10807,17,1,1404
5,0,C457,88,C4254,N10808,17,1,1374
5,0,C5611,N10803,C457,389,17,1,108
5,0,C5611,N10804,C457,389,17,1,80
5,0,C5720,111,C20101,N9039,6,4,252
5,0,C5720,N230,C20101,N10466,6,4,248
5,0,C5720,N230,C20101,N10467,6,4,248
5,0,C5736,N10801,C11573,111,17,1,84
5,0,C612,389,C4254,N10806,17,1,193
5,1,C2270,N10490,C5721,22,6,20,3324
5,1,C3173,N48,C1554,N10498,6,3,138
5,1,C5721,22,C2270,N10490,6,23,9726
5,11,C1607,N2377,C1707,N1,6,10,3821
5,12,C244,N10541,C457,445,6,13,4217
5,12,C457,445,C244,N10541,6,9,1653
5,13,C4254,N10575,C625,445,6,5756,614529
5,13,C625,445,C4254,N10575,6,5765,662136
5,16,C4254,N3651,C612,135,6,8,859
5,16,C4254,N3861,C612,N197,6,7,871
5,16,C612,135,C4254,N3651,6,6,800
5,16,C612,N197,C4254,N3861,6,5,436
5,22,C4254,N44,C625,N17,1,4,240
5,22,C625,N17,C4254,N17,1,4,240
5,34,C3193,2432,C5721,445,6,4,278
5,34,C5721,445,C3193,2432,6,2,186
5,51,C4550,N10774,C467,N38,6,11,1275
5,51,C467,N38,C4550,N10774,6,9,1572
5,6,C1707,N1,C1607,N2377,6,6,547
6,0,C1065,389,C2475,N10383,6,6,620
6,0,C122,137,C4174,137,17,1,78
6,0,C122,137,C4920,137,17,1,78
6,0,C1357,N10811,C528,389,17,1,193
6,0,C20101,N10507,C5720,111,6,6,380
6,0,C20101,N10508,C5720,2049,6,6,364
6,0,C20101,N10812,C5720,111,17,1,84
6,0,C20101,N10813,C5720,N1505,17,1,68
6,0,C20101,N10814,C5720,N1505,17,1,132
6,0,C20101,N231,C5720,2049,6,12,1476
6,0,C2415,N10321,C706,80,6,1,46
6,0,C2475,N10383,C1065,389,6,7,1875
