srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,type
2818893178,1261225823,389,11940,TCP,1,0,10,5323,backgorund
18123776114,74241105161,50726,30044,TCP,1,0,5,847,backgorund
18123776114,74241105161,19816,30044,TCP,1,0,5,847,backgorund
5624761,144098220,24039,2049,TCP,1,0,1,52,backgorund
5624761,144098220,38223,2049,TCP,1,0,1,52,backgorund
5624761,144098220,33840,2049,TCP,1,0,1,52,backgorund
74241105161,18123776114,30044,50726,TCP,1,0,4,414,backgorund
74241105161,18123776114,30044,19816,TCP,1,0,4,413,backgorund
74241105161,193915187,30044,62494,TCP,1,0,4,414,backgorund
74241105161,193915187,30044,39921,TCP,1,0,4,413,backgorund
16283106162,4724324057,65336,64535,ICMP,1,0,2,120,backgorund
1261225823,2818893178,11940,389,TCP,1,0,12,3007,backgorund
7921519826,1148227125,47902,139,TCP,1,0,1,46,backgorund
4724324057,16283106162,64535,64535,ICMP,1,0,2,120,backgorund
144098220,5624761,2049,24039,TCP,1,0,1,52,backgorund
144098220,5624761,2049,38223,TCP,1,0,1,52,backgorund
144098220,5624761,2049,33840,TCP,1,0,1,52,backgorund
13123224081,9115214348,45693,32466,TCP,1,0,1,48,backgorund
193915187,74241105161,62494,30044,TCP,1,0,4,810,backgorund
193915187,74241105161,39921,30044,TCP,1,0,4,810,backgorund
16283106162,4724324057,36005,445,TCP,1,10,17,4369,backgorund
4724324057,16283106162,445,36005,TCP,1,10,15,2418,backgorund
149236171148,74241105161,19873,30044,TCP,1,15,6,1222,backgorund
74241105161,149236171148,30044,19873,TCP,1,6,4,2755,backgorund
58997235,144098220,59064,445,TCP,1,60,20,2440,backgorund
144098220,58997235,445,59064,TCP,1,60,18,1552,backgorund
10717719410,6812150230,33974,39703,TCP,1,9,3,144,backgorund
10717719410,2071716534,42310,39703,TCP,1,9,3,144,backgorund
581098548,131604381,55987,39703,TCP,1,9,3,144,backgorund
52808689,2421259134,20507,443,TCP,2,0,2,92,backgorund
2421259134,52808689,443,20507,TCP,2,0,1,46,backgorund
198816024,254649182,38387,137,UDP,2,0,1,78,backgorund
8417887166,817845203,45425,64104,TCP,2,1,3,138,backgorund
12192152233,74241105161,55107,30044,TCP,2,10,6,1223,backgorund
597143160,19112023087,9701,30044,TCP,2,10,6,1209,backgorund
153784655,19112023087,35201,30044,TCP,2,11,9,2901,backgorund
19112023087,597143160,30044,9701,TCP,2,6,4,2749,backgorund
19112023087,153784655,30044,35201,TCP,2,6,6,2980,backgorund
74241105161,12192152233,30044,55107,TCP,2,6,4,2755,backgorund
209177119145,54205183169,57008,42007,TCP,2,60,3,138,backgorund
191781805,197168104182,445,24294,TCP,2,60,3,237,backgorund
170388087,1111532225,111,28237,UDP,3,0,1,56,backgorund
1111532225,170388087,28237,111,UDP,3,0,1,84,backgorund
13123224081,9115214348,26887,32466,TCP,3,0,1,48,backgorund
125247185156,19112023087,6983,30044,TCP,3,10,9,2988,backgorund
1133865149,19112023087,35126,30044,TCP,3,10,6,1223,backgorund
4724324057,631533729,445,60376,TCP,3,15,9,1653,backgorund
140186194173,254104113,64535,64535,ICMP,3,4,5,420,backgorund
254104113,140186194173,65336,64535,ICMP,3,4,5,420,backgorund
19112023087,125247185156,30044,6983,TCP,3,6,6,2972,backgorund
19112023087,1133865149,30044,35126,TCP,3,6,4,2752,backgorund
221152184185,220141227150,445,44115,TCP,4,0,1,46,backgorund
21515721731,23422523976,9574,80,TCP,4,0,1,46,backgorund
220141227150,221152184185,44115,445,TCP,4,0,1,52,backgorund
1111532225,4012365242,445,23031,TCP,4,0,1,46,backgorund
4012365242,1111532225,23031,445,TCP,4,0,1,46,backgorund
