ts,td,srcip,srcport,dstip,dstport,proto,pkt,byt
1,0,17112119618,389,52102199,18083,TCP,10,5323
1,0,219155128230,52959,250757729,8839,TCP,5,847
1,0,219155128230,30116,250757729,8839,TCP,5,847
1,0,5215515912,1191,4122369190,2049,TCP,1,52
1,0,5215515912,13775,4122369190,2049,TCP,1,52
1,0,5215515912,50217,4122369190,2049,TCP,1,52
1,0,250757729,8839,219155128230,52959,TCP,4,414
1,0,250757729,8839,219155128230,30116,TCP,4,413
1,0,250757729,8839,235241145224,43248,TCP,4,414
1,0,250757729,8839,235241145224,46574,TCP,4,413
1,0,142113149246,0,11414823233,0,ICMP,2,120
1,0,52102199,18083,17112119618,389,TCP,12,3007
1,0,15115310662,22544,693293204,139,TCP,1,46
1,0,11414823233,0,142113149246,0,ICMP,2,120
1,0,4122369190,2049,5215515912,1191,TCP,1,52
1,0,4122369190,2049,5215515912,13775,TCP,1,52
1,0,4122369190,2049,5215515912,50217,TCP,1,52
1,0,68108196120,55862,10358248115,21726,TCP,1,48
1,0,235241145224,43248,250757729,8839,TCP,4,810
1,0,235241145224,46574,250757729,8839,TCP,4,810
1,10,142113149246,59896,11414823233,445,TCP,17,4369
1,10,11414823233,445,142113149246,59896,TCP,15,2418
1,15,1401546891,12564,250757729,8839,TCP,6,1222
1,6,250757729,8839,1401546891,12564,TCP,4,2755
1,60,1441714169,27566,4122369190,445,TCP,20,2440
1,60,4122369190,445,1441714169,27566,TCP,18,1552
1,9,6113182152,54410,6716699210,12887,TCP,3,144
1,9,6113182152,35440,15191131191,12887,TCP,3,144
1,9,15248182110,25884,1154158243,12887,TCP,3,144
2,0,1405178,55644,205143109159,443,TCP,2,92
2,0,205143109159,443,1405178,55644,TCP,1,46
2,0,14712323456,24546,17117018089,137,UDP,1,78
2,1,21121124890,10616,2201155240,52797,TCP,3,138
2,10,804813991,41199,250757729,8839,TCP,6,1223
2,10,16618897248,22340,23125276150,8839,TCP,6,1209
2,11,1388386250,41747,23125276150,8839,TCP,9,2901
2,6,23125276150,8839,16618897248,22340,TCP,4,2749
2,6,23125276150,8839,1388386250,41747,TCP,6,2980
2,6,250757729,8839,804813991,41199,TCP,4,2755
2,60,136240231114,11337,84163120223,59123,TCP,3,138
2,60,6621917455,445,2376290129,27286,TCP,3,237
3,0,912018495,111,861398430,26377,UDP,1,56
3,0,861398430,26377,912018495,111,UDP,1,84
3,0,68108196120,59422,10358248115,21726,TCP,1,48
3,10,2111515413,58946,23125276150,8839,TCP,9,2988
3,10,166173151159,57978,23125276150,8839,TCP,6,1223
3,15,11414823233,445,17054476,29207,TCP,9,1653
3,4,4415967150,0,151224205243,0,ICMP,5,420
3,4,151224205243,0,4415967150,0,ICMP,5,420
3,6,23125276150,8839,2111515413,58946,TCP,6,2972
3,6,23125276150,8839,166173151159,57978,TCP,4,2752
4,0,1867714951,445,459024922,50431,TCP,1,46
4,0,1682455065,33654,12478227146,80,TCP,1,46
4,0,459024922,50431,1867714951,445,TCP,1,52
4,0,861398430,445,232275194,61039,TCP,1,46
4,0,232275194,61039,861398430,445,TCP,1,46
4,10,16621923310,17820,23125276150,8839,TCP,6,1213
4,5,23125276150,8839,16621923310,17820,TCP,4,2752
4,60,73113132113,5246,17117018089,445,TCP,59,15826
4,60,10116124189,445,13518877229,40260,TCP,2,338
4,9,227738184,52750,1154158243,12887,TCP,3,152
4,9,227738184,41248,2261634292,12887,TCP,3,152
4,9,227738184,46298,19448240142,12887,TCP,3,152
4,9,227738184,15170,828286154,12887,TCP,3,152
4,9,227738184,5993,21220321446,12887,TCP,3,152
4,9,227738184,59164,25024945238,12887,TCP,3,152
4,9,227738184,6441,21481194168,12887,TCP,3,152
4,9,227738184,27396,216210119180,12887,TCP,3,152
5,0,912018495,111,861398430,26977,UDP,1,56
5,0,892379785,59137,136240231114,11337,TCP,5,272
5,0,250757729,8839,22023218720,59523,TCP,1,46
5,0,2052325834,19213,4122369190,11709,TCP,6,364
5,0,2052325834,23704,4122369190,11709,TCP,6,428
5,0,2052325834,53283,4122369190,111,TCP,6,380
5,0,101150215101,63714,486189146,21726,TCP,1,48
5,0,101150215101,46217,486189146,21726,TCP,1,48
5,0,136240231114,11337,892379785,59137,TCP,3,168
5,0,1441714169,26182,16747497,88,UDP,1,1386
5,0,1441714169,37865,16747497,88,UDP,1,1400
5,0,1441714169,5784,14864118181,389,UDP,1,236
5,0,1441714169,30745,16747497,88,UDP,1,1416
5,0,1441714169,19814,16747497,88,UDP,1,1400
5,0,16747497,389,2311839664,38408,UDP,1,191
5,0,16747497,389,2311839664,55017,UDP,1,117
5,0,16747497,88,1441714169,26182,UDP,1,1346
5,0,16747497,88,1441714169,37865,UDP,1,1374
5,0,16747497,88,1441714169,30745,UDP,1,1404
5,0,16747497,88,1441714169,19814,UDP,1,1374
5,0,2311839664,38408,16747497,389,UDP,1,108
5,0,2311839664,55017,16747497,389,UDP,1,80
5,0,4122369190,111,2052325834,53283,TCP,4,252
5,0,4122369190,11709,2052325834,19213,TCP,4,248
5,0,4122369190,11709,2052325834,23704,TCP,4,248
5,0,861398430,26977,912018495,111,UDP,1,84
5,0,14864118181,389,1441714169,5784,UDP,1,193
5,1,151224205243,26180,17117018089,22,TCP,20,3324
5,1,21121124890,10616,2201155240,48795,TCP,3,138
5,1,17117018089,22,151224205243,26180,TCP,23,9726
5,11,22023218720,38548,250757729,8839,TCP,10,3821
5,12,449150218,28376,16747497,445,TCP,13,4217
5,12,16747497,445,449150218,28376,TCP,9,1653
5,13,1441714169,30194,207167213,445,TCP,5756,614529
5,13,207167213,445,1441714169,30194,TCP,5765,662136
5,16,1441714169,30776,14864118181,135,TCP,8,859
5,16,1441714169,18699,14864118181,3360,TCP,7,871
5,16,14864118181,135,1441714169,30776,TCP,6,800
5,16,14864118181,3360,1441714169,18699,TCP,5,436
5,22,1441714169,0,207167213,0,ICMP,4,240
5,22,207167213,0,1441714169,0,ICMP,4,240
5,34,720210127,2432,17117018089,445,TCP,4,278
5,34,17117018089,445,720210127,2432,TCP,2,186
5,51,93127152198,57024,9522599200,54490,TCP,11,1275
5,51,9522599200,54490,93127152198,57024,TCP,9,1572
5,6,250757729,8839,22023218720,38548,TCP,6,547
6,0,17112119618,389,119241150218,8307,TCP,6,620
6,0,63232104159,137,471844168,137,UDP,1,78
6,0,63232104159,137,6319589236,137,UDP,1,78
6,0,89725177,13030,11414823233,389,UDP,1,193
6,0,2052325834,6494,4122369190,111,TCP,6,380
6,0,2052325834,2173,4122369190,2049,TCP,6,364
6,0,2052325834,45737,4122369190,111,UDP,1,84
6,0,2052325834,51456,4122369190,65456,UDP,1,68
6,0,2052325834,1864,4122369190,65456,UDP,1,132
6,0,2052325834,33457,4122369190,2049,TCP,12,1476
6,0,1411925856,55708,12478227146,80,TCP,1,46
6,0,119241150218,8307,17112119618,389,TCP,7,1875
6,0,119241150218,6124,2161521883,60213,TCP,7,1875
6,0,7986185188,2405,5321510934,445,TCP,1,52
6,0,5321510934,445,7986185188,2405,TCP,1,46
6,0,471844168,137,63232104159,137,UDP,1,84
6,0,1924215214,14535,78656585,80,TCP,6,874
