srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,type
1171361483,357115269,35403,445,TCP,1,10,17,4369,background
357115269,1171361483,445,35403,TCP,1,10,15,2418,background
4714312753,133373522,30749,46043,TCP,1,15,6,1222,background
133373522,4714312753,46043,30749,TCP,1,6,4,2755,background
252247069,4824947175,15258,445,TCP,1,60,20,2440,background
4824947175,252247069,445,15258,TCP,1,60,18,1552,background
12824811927,26197145123,51642,33568,TCP,1,9,3,144,background
12824811927,9921518383,14569,33568,TCP,1,9,3,144,background
6320197248,2752174252,2237,33568,TCP,1,9,3,144,background
9959255152,17142200213,17230,55328,TCP,2,1,3,138,background
2527622723,133373522,64745,46043,TCP,2,10,6,1223,background
134192189142,73115122173,27913,46043,TCP,2,10,6,1209,background
46189171225,73115122173,56034,46043,TCP,2,11,9,2901,background
73115122173,134192189142,46043,27913,TCP,2,6,4,2749,background
73115122173,46189171225,46043,56034,TCP,2,6,6,2980,background
133373522,2527622723,46043,64745,TCP,2,6,4,2755,background
15121218118,68199119,51390,10810,TCP,2,60,3,138,background
23294117154,110137898,445,6818,TCP,2,60,3,237,background
12020022823,73115122173,38699,46043,TCP,3,10,9,2988,background
24914415749,73115122173,5445,46043,TCP,3,10,6,1223,background
357115269,86174196214,445,51607,TCP,3,15,9,1653,background
39143254221,871130128,0,0,ICMP,3,4,5,420,background
871130128,39143254221,0,0,ICMP,3,4,5,420,background
73115122173,12020022823,46043,38699,TCP,3,6,6,2972,background
73115122173,24914415749,46043,5445,TCP,3,6,4,2752,background
143242220168,73115122173,30776,46043,TCP,4,10,6,1213,background
73115122173,143242220168,46043,30776,TCP,4,5,4,2752,background
197173213143,1332191667,45047,445,TCP,4,60,59,15826,background
17913798155,23422757154,445,27927,TCP,4,60,2,338,background
17528177149,2752174252,5735,33568,TCP,4,9,3,152,background
17528177149,232886115,41397,33568,TCP,4,9,3,152,background
17528177149,1768162198,46997,33568,TCP,4,9,3,152,background
17528177149,1141703162,43442,33568,TCP,4,9,3,152,background
17528177149,11519818621,14018,33568,TCP,4,9,3,152,background
17528177149,199851902,11358,33568,TCP,4,9,3,152,background
17528177149,9421055143,42866,33568,TCP,4,9,3,152,background
17528177149,12510412099,6269,33568,TCP,4,9,3,152,background
871130128,1332191667,13955,22,TCP,5,1,20,3324,background
9959255152,17142200213,17230,27303,TCP,5,1,3,138,background
1332191667,871130128,22,13955,TCP,5,1,23,9726,background
236125012,133373522,63419,46043,TCP,5,11,10,3821,background
23289183214,150120221246,46205,445,TCP,5,12,13,4217,background
150120221246,23289183214,445,46205,TCP,5,12,9,1653,background
252247069,21330151111,16224,445,TCP,5,13,5756,614529,background
21330151111,252247069,445,16224,TCP,5,13,5765,662136,background
252247069,230177210,12453,135,TCP,5,16,8,859,background
252247069,230177210,8485,4439,TCP,5,16,7,871,background
230177210,252247069,135,12453,TCP,5,16,6,800,background
230177210,252247069,4439,8485,TCP,5,16,5,436,background
252247069,21330151111,0,0,ICMP,5,22,4,240,background
21330151111,252247069,0,0,ICMP,5,22,4,240,background
19041870,1332191667,2432,445,TCP,5,34,4,278,background
1332191667,19041870,445,2432,TCP,5,34,2,186,background
24412277231,1057521351,60229,9140,TCP,5,51,11,1275,background
1057521351,24412277231,9140,60229,TCP,5,51,9,1572,background
133373522,236125012,46043,63419,TCP,5,6,6,547,background
23817138200,357115269,3040,135,TCP,6,15,7,644,background
357115269,23817138200,135,3040,TCP,6,15,5,504,background
17215668,23022522091,23573,80,TCP,6,2,7,882,background
23022522091,17215668,80,23573,TCP,6,2,4,4387,background
17215668,8510999158,54305,80,TCP,6,3,8,1146,background
8510999158,17215668,80,54305,TCP,6,3,5,4633,background
23817138200,357115269,27819,53729,TCP,6,35,12,3696,background
357115269,23817138200,53729,27819,TCP,6,35,10,1780,background
6154210194,18098165253,30905,23030,TCP,6,37,2,92,background
871130128,1332191667,44219,22,TCP,6,6,20,3356,background
1332191667,871130128,22,44219,TCP,6,6,18,2442,background
23583583,73115122173,61190,46043,TCP,7,11,6,1223,background
17625513149,17215668,80,55497,TCP,7,2,4,4387,background
17215668,17625513149,55497,80,TCP,7,2,7,882,background
223145169233,1057521351,32629,135,TCP,7,30,7,540,background
223145169233,1057521351,60188,9140,TCP,7,30,7,631,background
114177754,1057521351,38779,9140,TCP,7,30,7,639,background
114177754,1057521351,23655,135,TCP,7,30,7,540,background
1057521351,223145169233,135,32629,TCP,7,30,5,520,background
1057521351,114177754,135,23655,TCP,7,30,5,520,background
1057521351,223145169233,9140,60188,TCP,7,30,6,772,background
1057521351,114177754,9140,38779,TCP,7,30,5,516,background
7921315289,1991387391,137,137,UDP,7,52,8,624,background
7921315289,245469189,137,137,UDP,7,52,8,624,background
1991387391,7921315289,137,137,UDP,7,52,8,672,background
245469189,7921315289,137,137,UDP,7,52,8,672,background
107167165231,12240229,2049,50547,TCP,7,59,49,6466,background
12240229,107167165231,50547,2049,TCP,7,59,58,8992,background
73115122173,23583583,46043,61190,TCP,7,6,4,2753,background
235875175,17311424831,27722,29420,TCP,7,9,3,144,background
11818022685,23823518855,11812,445,TCP,8,1,10,3963,background
